Date	,MCC_Code,Amount	,Transaction Type	,Bank Name	,Account Number	,Currency	
30-05-2025,5912,460.25,Credit,Alinma,BE29 6363 0780 8035,SAR
04-04-2025,4111,264.71,Credit,Alinma,FR98 1921 7415 72NM 8ZEV VVTY W96,SAR
21-01-2025,5912,269.0,Credit,Alinma,AT57 2795 5210 2293 1714,SAR
21-03-2025,5541,469.18,Credit,Alinma,FR62 2797 9766 35D3 AGUE GF4Y S37,SAR
01-07-2025,5814,918.73,Debit,Alinma,MT51 NJMM 9933 56LS IBEZ QNCG LTJJ TRS,SAR
10-05-2025,4814,151.33,Debit,Alinma,BE48 5325 1515 4355,SAR
12-04-2025,5541,12.21,Credit,Alinma,DO28 6QF7 7573 5111 2896 5132 6002,SAR
31-01-2025,7011,469.56,Debit,Alinma,KW86 XMJI UWDG ADSD IIPH F5A4 5U0U 6X,SAR
28-01-2025,5814,706.65,Debit,Alinma,BG19 FUCJ 8850 12FZ AUBZ IP,SAR
23-03-2025,7832,92.02,Debit,Alinma,GR54 6812 658B 21TW SO9C WUY6 EBR,SAR
06-06-2025,7832,617.65,Debit,Alinma,TR95 5925 9UAO WSW6 SNCD H8H5 U7,SAR
12-02-2025,5541,64.27,Credit,Alinma,ME18 1904 3806 4476 3274 20,SAR
15-05-2025,6011,737.69,Credit,Alinma,DO92 FREG 7876 4948 9452 7713 8974,SAR
20-07-2025,5411,429.07,Credit,Alinma,HU58 2422 6912 4015 8530 1161 9827,SAR
31-05-2025,6011,940.77,Debit,Alinma,GL06 5193 1068 6553 43,SAR
13-03-2025,5541,559.87,Credit,Alinma,IS24 1277 7008 6773 6865 6208 00,SAR
29-05-2025,7832,856.42,Credit,Alinma,MT31 DNHN 9022 0G46 DSTA A9VI BQ6I PY4,SAR
